@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute common numeric
@attribute adamic numeric
@attribute jacc numeric
@attribute pr_all1_super numeric
@attribute pr_root_super numeric
@attribute pr_high_super numeric
@attribute class {1,0}

@data

3.43217e-05,3.60824e-05,1.15867e-05,6,1.05966300094,0.0168067226891,1.05051e-05,1.39209e-05,8.22038e-06,0
3.93838e-05,3.68953e-05,9.80875e-05,9,1.4586985888,0.0252100840336,1.04643e-05,1.28512e-05,3.25963e-05,1
1.85083e-05,1.67009e-05,6.04862e-05,4,0.654103932986,0.0112044817927,1.03438e-05,9.68313e-06,3.11822e-05,1
1.9136e-05,1.72481e-05,1.8215e-05,4,0.683694148148,0.0112044817927,1.03757e-05,1.05309e-05,7.79098e-06,1
1.70869e-05,1.36086e-05,3.70736e-05,3,0.512714288356,0.00840336134454,1.03353e-05,9.46744e-06,2.33234e-05,1
1.5492e-05,1.3751e-05,2.1204e-05,3,0.5169111537,0.00840336134454,1.0331e-05,9.35276e-06,7.78618e-06,0
0.000138652,0.000145919,0.000384331,33,5.62460997588,0.0924369747899,1.14269e-05,3.82329e-05,0.000110733,1
2.52829e-05,2.15167e-05,5.29807e-05,5,0.869143336534,0.0140056022409,1.03991e-05,1.11649e-05,2.39562e-05,1
1.62549e-05,1.43039e-05,1.26347e-05,3,0.501014975585,0.00840336134454,1.03438e-05,9.66718e-06,7.65262e-06,0
1.43541e-05,1.34728e-05,2.03161e-05,3,0.510988206852,0.00840336134454,1.0341e-05,9.61334e-06,7.8135e-06,0
1.68962e-05,1.13753e-05,1.42765e-05,3,0.491358039998,0.00840336134454,1.03023e-05,8.59183e-06,7.37724e-06,1
5.11778e-05,4.15943e-05,8.10427e-05,11,1.77419739613,0.03081232493,1.04747e-05,1.31399e-05,2.49217e-05,1
1.51432e-05,2.83112e-06,4.97759e-06,3,0.42621307263,0.00840336134454,1.02538e-05,7.32029e-06,6.95211e-06,0
1.3591e-05,1.30676e-05,2.35763e-05,3,0.513498531527,0.00840336134454,1.03378e-05,9.53189e-06,8.10717e-06,0
1.96112e-05,1.64875e-05,1.90964e-05,4,0.660331304955,0.0112044817927,1.03376e-05,9.52295e-06,7.71172e-06,0
2.67603e-05,4.32416e-05,1.13615e-05,5,0.976339888403,0.0140056022409,1.0688e-05,1.86847e-05,9.13554e-06,0
3.41217e-05,4.37844e-05,1.29962e-05,6,1.12504104813,0.0168067226891,1.06245e-05,1.70528e-05,8.82194e-06,0
2.39681e-05,2.93486e-05,8.92445e-06,4,0.735688383844,0.0112044817927,1.05007e-05,1.37715e-05,8.19007e-06,0
2.31755e-05,2.70329e-05,7.2173e-05,5,0.91702954603,0.0140056022409,1.04952e-05,1.36801e-05,3.64609e-05,1
0.00074948,0.00136743,0.000343026,16,3.30361608225,0.0350877192982,1.21817e-05,0.000308606,5.87699e-05,0
1.53213e-05,6.73715e-06,7.19343e-06,3,0.469992004227,0.00840336134454,1.0291e-05,8.3045e-06,7.14413e-06,0
5.87737e-05,5.87452e-05,0.000193829,14,2.30315485277,0.0392156862745,1.06553e-05,1.78802e-05,7.6947e-05,1
2.72769e-05,2.49456e-05,6.129e-05,6,0.999856769544,0.0168067226891,1.04118e-05,1.14787e-05,2.35891e-05,0
9.51837e-05,0.000184715,4.69584e-05,19,4.07947124128,0.0532212885154,1.32248e-05,8.5562e-05,2.19953e-05,0
5.12573e-05,4.79517e-05,3.73004e-05,10,1.74773499554,0.0280112044818,1.06413e-05,1.75015e-05,9.2318e-06,0
2.23496e-05,2.53036e-05,6.05381e-05,5,0.897143151727,0.0140056022409,1.04904e-05,1.35669e-05,2.41092e-05,1
3.60546e-05,4.1218e-05,1.33978e-05,6,1.1395004076,0.0168067226891,1.05994e-05,1.64158e-05,8.70065e-06,0
1.64016e-05,1.03696e-05,1.41727e-05,3,0.474863149715,0.00840336134454,1.02892e-05,8.24936e-06,7.24709e-06,1
1.51432e-05,2.83112e-06,4.97759e-06,3,0.42621307263,0.00840336134454,1.02538e-05,7.32029e-06,6.95211e-06,0
2.38738e-05,1.93573e-05,5.38868e-05,5,0.8119566372,0.0140056022409,1.03491e-05,9.83052e-06,2.37039e-05,1
1.46777e-05,1.09763e-05,4.11394e-05,3,0.456596465676,0.00840336134454,1.02817e-05,8.04415e-06,2.24426e-05,1
1.72055e-05,1.3229e-05,9.67105e-06,3,0.507762850342,0.00840336134454,1.03541e-05,9.93884e-06,7.49577e-06,1
1.51432e-05,2.83112e-06,4.97759e-06,3,0.42621307263,0.00840336134454,1.02538e-05,7.32029e-06,6.95211e-06,0
2.50963e-05,1.84378e-05,0.000116969,5,0.787966880008,0.0140056022409,1.03261e-05,9.22047e-06,5.71862e-05,0
3.91461e-05,5.5545e-05,1.58834e-05,7,1.41787774022,0.0196078431373,1.08738e-05,2.3662e-05,1.00947e-05,0
2.18423e-05,1.56331e-05,0.000100604,4,0.664694821109,0.0112044817927,1.03359e-05,9.48833e-06,4.97295e-05,0
1.82811e-05,1.10557e-05,9.49156e-06,3,0.504007160258,0.00840336134454,1.03113e-05,8.84311e-06,7.29649e-06,1
2.57388e-05,2.0903e-05,2.37955e-05,5,0.852074064325,0.0140056022409,1.03793e-05,1.06365e-05,7.83752e-06,1
2.28695e-05,2.08928e-05,3.12929e-05,5,0.8064370206,0.0140056022409,1.03589e-05,1.00669e-05,8.22907e-06,1
2.03926e-05,1.59677e-05,7.98824e-05,4,0.658232178334,0.0112044817927,1.03353e-05,9.46407e-06,3.40916e-05,1
1.68201e-05,2.63328e-05,6.8826e-06,3,0.618820297688,0.00840336134454,1.0545e-05,1.4971e-05,8.42221e-06,0
1.64016e-05,1.03696e-05,1.41727e-05,3,0.474863149715,0.00840336134454,1.02892e-05,8.24936e-06,7.24709e-06,1
0.000418284,0.000989958,0.000233188,15,3.06420120712,0.037037037037,1.2003e-05,0.000303908,5.7867e-05,0
1.43467e-05,1.31681e-05,1.84621e-05,3,0.499411097017,0.00840336134454,1.03266e-05,9.22428e-06,7.81677e-06,1
1.6894e-05,2.16272e-05,6.03446e-06,3,0.5616069124,0.00840336134454,1.04468e-05,1.23949e-05,7.92741e-06,1
3.12199e-05,2.88245e-05,2.36932e-05,6,1.04934530189,0.0168067226891,1.04734e-05,1.31077e-05,8.26599e-06,1
3.99216e-05,4.35723e-05,0.000128814,9,1.63006112159,0.0252100840336,1.06666e-05,1.8225e-05,3.78166e-05,1
2.20474e-05,2.01439e-05,1.37258e-05,4,0.731794359506,0.0112044817927,1.04219e-05,1.17514e-05,7.91966e-06,1
1.54956e-05,1.5295e-05,1.45314e-05,3,0.555049518227,0.00840336134454,1.03929e-05,1.09955e-05,7.7641e-06,1
3.47893e-05,3.1187e-05,3.634e-05,7,1.21246415506,0.0196078431373,1.04872e-05,1.34607e-05,8.70984e-06,0
0.000755802,0.000988062,0.000793213,1,0.185877152348,0.00209205020921,1.03917e-05,0.000261619,4.97437e-05,1
2.499e-05,1.78501e-05,7.29726e-05,5,0.782624359863,0.0140056022409,1.03242e-05,9.1701e-06,3.84789e-05,1
1.71173e-05,1.40323e-05,1.33501e-05,3,0.515368981832,0.00840336134454,1.03471e-05,9.77014e-06,7.6034e-06,1
4.49729e-05,4.04259e-05,5.01264e-05,10,1.66471443722,0.0280112044818,1.05091e-05,1.40423e-05,9.16205e-06,1
6.40822e-05,8.7594e-05,2.54724e-05,12,2.26734916814,0.0336134453782,1.1139e-05,3.0534e-05,1.14119e-05,0
0.000194763,0.000218407,0.000467815,46,8.05476296481,0.128851540616,1.22852e-05,6.08514e-05,0.000117895,1
1.59685e-05,1.35516e-05,1.81095e-05,3,0.520821988303,0.00840336134454,1.03337e-05,9.42697e-06,7.70128e-06,1
3.396e-05,3.3912e-05,6.11086e-05,8,1.32014487283,0.0224089635854,1.04701e-05,1.29988e-05,9.86746e-06,1
7.82573e-05,8.49602e-05,0.000161259,18,3.1473969578,0.0504201680672,1.10112e-05,2.72865e-05,4.10733e-05,1
2.42897e-05,2.20542e-05,2.18559e-05,5,0.884445495412,0.0140056022409,1.04171e-05,1.16339e-05,8.11364e-06,1
8.04168e-05,6.45344e-05,8.92533e-05,16,2.642175045,0.0448179271709,1.06738e-05,1.83935e-05,2.55659e-05,0
1.9303e-05,1.94906e-05,6.18741e-06,3,0.551479785932,0.00840336134454,1.03985e-05,1.11354e-05,7.6858e-06,0
0.00152039,0.00211422,0.000565887,40,7.86647093709,0.0742115027829,1.4499e-05,0.000369534,7.04828e-05,0
3.16919e-05,3.4787e-05,0.000115073,7,1.27447814077,0.0196078431373,1.05871e-05,1.61294e-05,3.70529e-05,1
1.48963e-05,1.14847e-05,1.39616e-05,3,0.482196806502,0.00840336134454,1.02963e-05,8.43247e-06,7.37547e-06,1
1.61629e-05,1.49449e-05,1.36934e-05,3,0.530223061816,0.00840336134454,1.03532e-05,9.94303e-06,7.74157e-06,1
